cluster,customers,recency_days_mean,frequency_mean,monetary_mean,avg_ticket_mean,avg_items_mean,age_mean,Electronics_mean,Clothing_mean,Groceries_mean,Books_mean,Toys_mean,pay_mobile_mean,pay_credit_mean,pay_cash_mean
0,168,202.41071428571428,3.482142857142857,4752.212321428572,1347.001300595238,2.855762987012987,43.541666666666664,0.05270757372859655,0.1950940126137801,0.2646612864725732,0.2780737084347874,0.20946341875026275,0.38095238095238093,0.4107142857142857,0.20833333333333334
1,284,115.55633802816901,6.088028169014085,19707.22346971831,3239.8209463371136,3.0965334938926485,42.95070422535211,0.16498293398060654,0.16117311611751758,0.17017188968026914,0.2263846134897117,0.277287446731895,0.5316901408450704,0.46830985915492956,0.0
2,201,122.91542288557214,5.681592039800995,16309.343459701493,2906.733418822885,3.0652257361212585,42.43781094527363,0.14197454134546297,0.16407434729502518,0.1695384623393676,0.24272053585350378,0.28169211316664045,0.0,0.0,1.0
3,171,175.52631578947367,3.8771929824561404,20224.74658128655,5357.53317142393,2.9082683560753737,43.801169590643276,0.32088628883740933,0.12449645484026316,0.11564384540068381,0.10895562450999734,0.3300177864116463,0.23391812865497075,0.3333333333333333,0.4327485380116959
4,309,118.42071197411003,5.935275080906149,21769.305651132687,3751.0483235860684,3.0205256447974898,43.38834951456311,0.19953075254300212,0.158509969204609,0.1476747721661193,0.20602110689071376,0.2882633991955558,0.36245954692556637,0.44660194174757284,0.19093851132686085
